created_at,entry_id,field1,latitude,longitude,elevation,status
2020-11-30T19:38:56+00:00,1,"25.18

",,,,
2020-11-30T19:39:12+00:00,2,"25.18

",,,,
2020-11-30T19:39:28+00:00,3,"25.18

",,,,
2020-11-30T19:39:44+00:00,4,"26.15

",,,,
2020-11-30T19:39:59+00:00,5,"56.15

",,,,
2020-11-30T19:40:15+00:00,6,"68.41

",,,,
2020-11-30T19:40:31+00:00,7,"25.18

",,,,
2020-11-30T19:40:47+00:00,8,"25.18

",,,,
2020-11-30T19:41:03+00:00,9,"24.86

",,,,
2020-11-30T19:41:19+00:00,10,"24.86

",,,,
2020-11-30T19:41:34+00:00,11,"24.86

",,,,
2020-11-30T19:41:50+00:00,12,"24.86

",,,,
2020-11-30T19:42:06+00:00,13,"25.18

",,,,
2020-11-30T19:42:22+00:00,14,"25.18

",,,,
2020-11-30T19:42:38+00:00,15,"24.86

",,,,
2020-11-30T19:42:54+00:00,16,"26.15

",,,,
2020-11-30T19:47:29+00:00,17,"25.18

",,,,
2020-11-30T19:47:45+00:00,18,"25.18

",,,,
2020-11-30T19:48:00+00:00,19,"24.86

",,,,
2020-11-30T19:48:16+00:00,20,"25.18

",,,,
2020-11-30T19:48:32+00:00,21,"50.99

",,,,
2020-11-30T19:48:48+00:00,22,"25.83

",,,,
2020-11-30T19:49:04+00:00,23,"26.15

",,,,
2020-11-30T19:49:20+00:00,24,"25.50

",,,,
2020-11-30T19:49:35+00:00,25,"25.18

",,,,
2020-11-30T19:49:51+00:00,26,"25.50

",,,,
2020-11-30T19:50:07+00:00,27,"25.18

",,,,
2020-11-30T19:50:23+00:00,28,"25.18

",,,,
2020-11-30T19:50:39+00:00,29,"26.15

",,,,
2020-11-30T19:50:55+00:00,30,"24.86

",,,,
2020-11-30T19:51:10+00:00,31,"24.86

",,,,
2020-11-30T19:51:26+00:00,32,"25.83

",,,,
2020-11-30T19:51:42+00:00,33,"25.18

",,,,
2020-11-30T19:51:58+00:00,34,"25.18

",,,,
2020-11-30T19:52:14+00:00,35,"24.86

",,,,
2020-11-30T19:52:30+00:00,36,"25.18

",,,,
2020-11-30T19:52:46+00:00,37,"25.18

",,,,
2020-11-30T19:53:01+00:00,38,"65.18

",,,,
2020-11-30T19:53:17+00:00,39,"25.18

",,,,
